Event,Time,Team Name,Name,Game Period,Outcome,Player,Location X,Location Y,PSR,Colormark,Positive,Score
91,00:25:56,Killinkere,Shot from play,1,Goal,Alex Sweeney,0.1021341,0.4626398,3,#70B12A,1,3
92,00:26:03,Killinkere,Attacks,1,Shot taken,Alex Sweeney,,,0,,1,0
93,00:26:21,Belturbet,Kickout,1,Lost clean,Benny McConnell,0.4021342,0.1484208,1,#ed1c24,0,0
94,00:26:52,Killinkere,Shot from play,1,Wide,Conall Mooney,0.1359756,0.7351148,0,#ed1c24,1,0
95,00:26:57,Killinkere,Attacks,1,Shot taken,Conall Mooney,,,0,,1,0
96,00:27:14,Belturbet,Kickout,1,Break won,Player 8,0.3559451,0.9005732,1,,1,0
97,00:27:41,Belturbet,Possession lost,1,Sideline,,,,-1,,1,0
98,00:28:18,Killinkere,Possession lost,1,In Contact,Kevin McCabe,,,-1,,1,0
99,00:28:23,Killinkere,Attacks,1,Possession lost,Kevin McCabe,,,0,,1,0
100,00:28:52,Killinkere,Turnover,1,Interception,Jake Norris,,,2,,1,0
101,00:29:33,Killinkere,Shot from play,1,Wide,Phelim Cusack,0.1853659,0.227355,0,#ed1c24,1,0
102,00:29:38,Killinkere,Attacks,1,Shot taken,Phelim Cusack,,,0,,1,0
103,00:29:55,Belturbet,Kickout,1,Won clean,Player 8,0.4332317,0.5582717,1,,1,0
104,00:30:18,Belturbet,Shot from play,1,Wide,Player 14,0.9079269,0.3298178,0,#ed1c24,1,0
105,00:30:22,Belturbet,Attacks,1,Shot taken,Player 14,,,0,,1,0
106,00:30:39,Killinkere,Kickout,1,Won clean,James Farrelly,0.4986281,0.9127169,1,,1,0
107,00:31:01,Killinkere,Possession lost,1,Hand pass,Kevin McCabe,,,-1,,1,0
108,00:31:03,Killinkere,Attacks,1,Shot taken,Kevin McCabe,,,0,,1,0
109,00:31:13,Killinkere,Turnover,1,Interception,Luke Crossan,,,2,,1,0
110,00:30:14,Belturbet,Shot from play,2,Wide,Player 8,0.1771341,0.316915,0,#ed1c24,1,0
111,00:30:19,Belturbet,Attacks,2,Shot taken,Player 8,,,0,,1,0
112,00:30:30,Killinkere,Kickout,2,Break lost,Player 13,0.3710366,0.2432937,1,,0,0
113,00:30:49,Belturbet,Shot from play,2,Point,Player 14,0.172561,0.3882595,1,#ffffff,1,1
114,00:30:53,Belturbet,Attacks,2,Shot taken,Player 14,,,0,,1,0
115,00:31:18,Belturbet,Substitution,2,Player 18,Player 7,,,0,,YES,0
116,00:31:21,Killinkere,Kickout,2,Won clean,Alex Sweeney,0.3925305,0.8459264,1,,1,0
117,00:31:57,Belturbet,Free conceded,2,Defensive third,,,,-1,,1,0
118,00:32:34,Killinkere,Scoreable free,2,Wide,Conall Mooney,0.7716463,0.7518125,0,#ed1c24,1,0
119,00:32:43,Killinkere,Attacks,2,Mark taken,Conall Mooney,,,1,,1,0
120,00:32:52,Belturbet,Kickout,2,Break lost,Kevin McCabe,0.5439025,0.6797091,1,,0,0
121,00:33:07,Belturbet,Free conceded,2,Middle third,,,,0,,1,0
122,00:33:30,Killinkere,Possession lost,2,Interception,Kevin McCabe,,,-1,,1,0
123,00:34:11,Belturbet,Attacks,2,Shot taken,Player 14,,,0,,1,0
124,00:34:44,Killinkere,Kickout,2,Break lost,,0.4039634,0.7085504,1,,0,0
