Event,Time,Team Name,Name,Game Period,Outcome,Player,Location X,Location Y,PSR,Colormark,Positive,Score
98,00:30:05,Killinkere,Scoreable free,1,Point,Darren Smith,0.2082317,0.3563822,1,#ffffff,1,1
99,00:30:28,Killinkere,Attacks,1,Shot taken,,,,0,,1,0
100,00:30:54,Drumgoon,Kickout,1,Lost clean,,0.4602134,0.3495513,1,#ed1c24,0,0
101,00:30:20,Killinkere,Substitution,2,Jason McMahon,Philip Corrigan,,,0,,YES,0
102,00:30:33,Killinkere,Substitution,2,David Macken,Luke Crossan,,,0,,YES,0
103,00:30:40,Drumgoon,Shot from play,2,Short,Player 10,0.1666159,0.635688,-1,#ed1c24,1,0
104,00:30:51,Drumgoon,Attacks,2,Shot taken,Player 10,,,0,,1,0
105,00:31:09,Killinkere,Shot from play,2,Wide,Jason McMahon,0.8338414,0.6797091,0,#ed1c24,1,0
106,00:31:14,Killinkere,Attacks,2,Shot taken,Jason McMahon,,,0,,1,0
107,00:31:30,Drumgoon,Kickout,2,Won clean,Player 8,0.583689,0.8451674,1,,1,0
108,00:31:50,Killinkere,Free conceded,2,Middle third,Alex Sweeney,,,0,,1,0
109,00:32:13,Drumgoon,Scoreable free,2,Wide,Player 8,0.3202744,0.4497371,0,#ed1c24,1,0
110,00:32:19,Drumgoon,Attacks,2,Shot taken,Player 8,,,0,,1,0
111,00:32:24,Killinkere,Kickout,2,Won clean,Kevin McCabe,0.5150915,0.07479938,1,,1,0
112,00:33:19,Killinkere,Shot from play,2,Save,Ciaran Flynn,0.9006097,0.6151955,0,#ed1c24,1,0
113,00:33:25,Killinkere,Attacks,2,Shot taken,Ciaran Flynn,,,0,,1,0
114,00:33:55,Drumgoon,Free conceded,2,Attacking third,Player 10,,,0,,1,0
115,00:34:03,Drumgoon,Attacks,2,Possession lost,Player 10,,,0,,1,0
116,00:34:22,Killinkere,Shot from play,2,Wide,Alex Sweeney,0.8571646,0.2394987,0,#ed1c24,1,0
117,00:34:26,Killinkere,Attacks,2,Shot taken,Alex Sweeney,,,0,,1,0
118,00:34:50,Drumgoon,Kickout,2,Sideline ball,Neill McCabe,0.641311,0.02015259,0,,0,0
119,00:35:25,Killinkere,Possession lost,2,Hand pass,Jason McMahon,,,-1,,1,0
120,00:35:35,Killinkere,Turnover,2,Interception,Liam McCabe,,,2,,1,0
121,00:35:46,Killinkere,Shot from play,2,Point,Fiachra Mooney,0.8740854,0.6743962,1,#ffffff,1,1
122,00:35:49,Killinkere,Attacks,2,Shot taken,Fiachra Mooney,,,0,,1,0
123,00:38:07,Drumgoon,Kickout,2,Lost clean,,,,1,#ed1c24,0,0
124,00:38:19,Drumgoon,Free conceded,2,Middle third,,,,0,,1,0
125,00:38:29,Killinkere,Possession lost,2,In Contact,Neill McCabe,,,-1,,1,0
126,00:38:47,Drumgoon,Shot from play,2,Point,Player 15,0.1730183,0.2964225,1,#ffffff,1,1
127,00:38:52,Drumgoon,Attacks,2,Shot taken,Player 15,,,0,,1,0
128,00:39:04,Killinkere,Kickout,2,Sideline ball,,0.3609756,0.04519904,0,,0,0
129,00:39:23,Killinkere,Turnover,2,Interception,Kevin McCabe,,,2,,1,0
130,00:39:29,Drumgoon,Substitution,2,Player 22,Player 13,,,0,,YES,0
131,00:39:56,Killinkere,Shot from play,2,2 Points,Jason McMahon,0.6989329,0.4945171,2,#f7941d,1,2
132,00:39:59,Killinkere,Attacks,2,Shot taken,Jason McMahon,,,0,,1,0
133,00:40:23,Drumgoon,Kickout,2,Won clean,Player 12,0.4341463,0.5036249,1,,1,0
134,00:41:12,Drumgoon,Shot from play,2,Short,Player 7,0.2146342,0.3358896,-1,#ed1c24,1,0
135,00:41:16,Drumgoon,Attacks,2,Shot taken,Player 7,,,0,,1,0
136,00:41:41,Killinkere,Shot from play,2,Point,Alex Sweeney,0.771189,0.3882595,1,#ffffff,1,1
137,00:41:45,Killinkere,Attacks,2,Shot taken,Alex Sweeney,,,0,,1,0
138,00:41:55,Drumgoon,Kickout,2,Lost clean,,0.6778963,0.4846503,1,#ed1c24,0,0
139,00:42:14,Killinkere,Attacks,2,Possession lost,Jason McMahon,,,0,,1,0
140,00:42:30,Killinkere,Turnover,2,In Contact,Alex Sweeney,,,3,,1,0
141,00:42:43,Drumgoon,Shot from play,2,Point,Player 8,0.2599085,0.4876863,1,#ffffff,1,1
142,00:42:52,Drumgoon,Attacks,2,Shot taken,Player 8,,,0,,1,0
143,00:43:03,Killinkere,Kickout,2,Sideline ball,,0.629878,0.9582559,0,,0,0
144,00:43:48,Drumgoon,Shot from play,2,Wide,Player 10,0.1588415,0.7419457,0,#ed1c24,1,0
145,00:43:59,Drumgoon,Attacks,2,Shot taken,Player 10,,,0,,1,0
146,00:44:04,Killinkere,Kickout,2,Lost clean,Player 8,0.5347561,0.7457406,1,#ed1c24,0,0
147,00:44:17,Drumgoon,Free conceded,2,Attacking third,Player 22,,,0,,1,0
148,00:45:02,Killinkere,Free conceded,2,Attacking third,Ciaran Flynn,,,0,,1,0
149,00:45:07,Killinkere,Attacks,2,Possession lost,Ciaran Flynn,,,0,,1,0
150,00:45:18,Killinkere,Shot from play,2,Point,Neill McCabe,0.8379573,0.4573269,1,#ffffff,1,1
151,00:45:21,Killinkere,Attacks,2,Shot taken,Neill McCabe,,,0,,1,0
152,00:45:44,Drumgoon,Kickout,2,Break won,Player 14,0.6815549,0.9043681,1,,1,0
153,00:46:08,Killinkere,Free conceded,2,Middle third,Fiachra Mooney,,,0,,1,0
154,00:46:52,Killinkere,Turnover,2,Interception,Jason McMahon,,,2,,1,0
