Event,Time,Team Name,Name,Game Period,Outcome,Player,Location X,Location Y,PSR,Colormark,Positive,Score
118,00:30:28,Cornafean,Shot from play,2,2 Points,Player 12,0.2544207,0.726007,2,#f7941d,1,2
119,00:30:32,Cornafean,Attacks,2,Shot taken,Player 12,,,0,,1,0
120,00:30:41,Killinkere,Kickout,2,Break lost,,0.5224085,0.6926118,1,,0,0
121,00:30:54,Killinkere,Turnover,2,In Contact,Jason McMahon,,,3,,1,0
122,00:31:05,Cornafean,Attacks,2,Carry lost,,,,0,,1,0
123,00:31:22,Cornafean,Free conceded,2,Middle third,Player 5,,,0,,1,0
124,00:31:58,Killinkere,Possession lost,2,Hand pass,Nathan McQuade,,,-1,,1,0
125,00:32:16,Cornafean,Shot from play,2,Point,Player 10,0.06006097,0.6797091,1,#ffffff,1,1
126,00:32:19,Cornafean,Attacks,2,Shot taken,Player 10,,,0,,1,0
127,00:33:34,Cornafean,Substitution,2,Player 17,Player 7,,,0,,YES,0
128,00:33:40,Killinkere,Kickout,2,Short won,Shane Ryan,0.191311,0.8747678,1,,1,0
129,00:33:50,Killinkere,Free conceded,2,Defensive third,Shane Ryan,,,-1,,1,0
130,00:34:08,Cornafean,Scoreable free,2,Point,Player 13,0.1506098,0.4876863,1,#ffffff,1,1
131,00:34:12,Cornafean,Attacks,2,Mark taken,Player 13,,,1,,1,0
132,00:34:27,Killinkere,Kickout,2,Break lost,Player 6,0.5772866,0.5036249,1,,0,0
133,00:34:48,Cornafean,Shot from play,2,Point,Player 15,0.1775915,0.4284856,1,#ffffff,1,1
134,00:34:51,Cornafean,Attacks,2,Shot taken,Player 15,,,0,,1,0
135,00:35:08,Killinkere,Kickout,2,Break won,Ciaran Flynn,0.5704268,0.2076215,1,,1,0
136,00:35:35,Cornafean,Free conceded,2,Defensive third,,,,-1,,1,0
137,00:36:27,Killinkere,Free conceded,2,Middle third,,,,0,,1,0
138,00:36:44,Cornafean,Shot from play,2,Wide,Player 14,0.2018293,0.3510693,0,#ed1c24,1,0
139,00:36:51,Cornafean,Attacks,2,Shot taken,Player 14,,,0,,1,0
140,00:37:07,Killinkere,Bookings,2,Yellow,Emmett Fitzsimons,,,-1,,1,0
141,00:37:17,Cornafean,Substitution,2,Player 7,Player 17,,,0,,YES,0
142,00:37:26,Killinkere,Kickout,2,Break won,Shane Ryan,0.332622,0.04899395,1,,1,0
143,00:37:59,Killinkere,Shot from play,2,Point,Conall Mooney,0.7474085,0.4656758,1,#ffffff,1,1
144,00:38:03,Killinkere,Attacks,2,Shot taken,Conall Mooney,,,0,,1,0
145,00:38:23,Cornafean,Kickout,2,Lost clean,Alex Sweeney,0.5539634,0.5529588,1,#ed1c24,0,0
146,00:38:38,Killinkere,Possession lost,2,In Contact,Alex Sweeney,,,-1,,1,0
147,00:38:52,Cornafean,Shot from play,2,Point,Player 13,0.2507622,0.4740246,1,#ffffff,1,1
148,00:38:56,Cornafean,Attacks,2,Shot taken,Player 13,,,0,,1,0
149,00:39:30,Killinkere,Kickout,2,Break lost,Player 14,0.4227134,0.7639562,1,,0,0
150,00:39:45,Cornafean,Shot from play,2,Wide,Player 13,0.2448171,0.4763016,0,#ed1c24,1,0
151,00:39:48,Cornafean,Attacks,2,Shot taken,Player 13,,,0,,1,0
152,00:40:07,Killinkere,Substitution,2,Phelim Cusack,Conall Mooney,,,0,,YES,0
153,00:40:15,Killinkere,Kickout,2,Lost clean,,0.4849086,0.2926276,1,#ed1c24,0,0
154,00:40:35,Killinkere,Turnover,2,Interception,Jake Norris,,,2,,1,0
155,00:40:46,Killinkere,Possession lost,2,In Contact,Shaun Clarke,,,-1,,1,0
156,00:40:54,Cornafean,Shot from play,2,Point,Player 10,0.227439,0.4353164,1,#ffffff,1,1
157,00:40:57,Cornafean,Attacks,2,Shot taken,Player 10,,,0,,1,0
158,00:41:11,Killinkere,Kickout,2,Break won,Ciaran Flynn,0.3495427,0.6212673,1,,1,0
159,00:41:29,Killinkere,Possession lost,2,Hand pass,,,,-1,,1,0
160,00:41:47,Cornafean,Free conceded,2,Middle third,Player 8,,,0,,1,0
161,00:42:06,Killinkere,Possession lost,2,Handling,Emmett Fitzsimons,,,-1,,1,0
162,00:42:42,Killinkere,Substitution,2,Darren Smith,Neill McCabe,,,0,,YES,0
163,00:43:01,Cornafean,Shot from play,2,2 Points,Player 11,0.2717988,0.6971657,2,#f7941d,1,2
164,00:43:05,Cornafean,Attacks,2,Shot taken,Player 11,,,0,,1,0
165,00:43:21,Killinkere,Kickout,2,Lost clean,Player 5,0.3660061,0.138554,1,#ed1c24,0,0
166,00:43:34,Killinkere,Free conceded,2,Middle third,Nathan McQuade,,,0,,1,0
167,00:44:01,Cornafean,Scoreable free,2,Point,Player 13,0.1277439,0.4960351,1,#ffffff,1,1
168,00:44:05,Cornafean,Attacks,2,Mark taken,Player 13,,,1,,1,0
169,00:44:19,Killinkere,Kickout,2,Break won,Cian McGovern,0.4204268,0.3146381,1,,1,0
170,00:44:47,Killinkere,Possession lost,2,Hand pass,Nathan McQuade,,,-1,,1,0
171,00:45:07,Killinkere,Free conceded,2,Middle third,Alex Sweeney,,,0,,1,0
172,00:45:28,Killinkere,Bookings,2,Yellow,Alex Sweeney,,,-1,,1,0
173,00:45:47,Killinkere,Turnover,2,Interception,Luke Crossan,,,2,,1,0
174,00:45:57,Cornafean,Free conceded,2,Middle third,Player 4,,,0,,1,0
175,00:46:21,Killinkere,Possession lost,2,Hand pass,Alex Sweeney,,,-1,,1,0
176,00:46:39,Cornafean,Shot from play,2,Goal,Player 14,0.1108232,0.3419615,3,#70B12A,1,3
177,00:46:42,Cornafean,Attacks,2,Shot taken,Player 13,,,0,,1,0
178,00:47:14,Cornafean,Substitution,2,Player 17,Player 11,,,0,,YES,0
179,00:47:18,Killinkere,Kickout,2,Sideline ball,,0.2672256,0.952943,0,,0,0
180,00:47:38,Cornafean,Shot from play,2,Short,Player 13,0.2347561,0.6151955,-1,#ed1c24,1,0
181,00:47:48,Cornafean,Attacks,2,Shot taken,Player 13,,,0,,1,0
182,00:48:06,Cornafean,Free conceded,2,Defensive third,,,,-1,,1,0
183,00:48:36,Cornafean,Free conceded,2,Defensive third,Player 4,,,-1,,1,0
184,00:48:59,Killinkere,Scoreable free,2,Point,Darren Smith,0.8640244,0.4914812,1,#ffffff,1,1
185,00:49:04,Killinkere,Attacks,2,Mark taken,Jason McMahon,,,1,,1,0
186,00:49:36,Cornafean,Kickout,2,Break lost,Nathan McQuade,0.6088415,0.5286714,1,,0,0
187,00:49:52,Killinkere,Shot from play,2,Point,Darren Smith,0.8525915,0.2865557,1,#ffffff,1,1
188,00:49:55,Killinkere,Attacks,2,Shot taken,Darren Smith,,,0,,1,0
189,00:50:11,Killinkere,Substitution,2,James Farrelly,Benny McConnell,,,0,,YES,0
190,00:50:14,Cornafean,Kickout,2,Break lost,Phelim Cusack,0.3948171,0.8011464,1,,0,0
191,00:50:53,Killinkere,Shot from play,2,Point,Emmett Fitzsimons,0.779878,0.4945171,1,#ffffff,1,1
192,00:50:57,Killinkere,Attacks,2,Shot taken,Emmett Fitzsimons,,,0,,1,0
193,00:51:15,Killinkere,Substitution,2,Harry Banville,Shaun Clarke,,,0,,YES,0
194,00:51:20,Cornafean,Kickout,2,Short won,Player 4,0.7442073,0.3146381,1,,1,0
195,00:51:47,Cornafean,Shot from play,2,Wide,Player 5,0.1387195,0.6174724,0,#ed1c24,1,0
196,00:51:52,Cornafean,Attacks,2,Shot taken,Player 5,,,0,,1,0
197,00:52:00,Killinkere,Kickout,2,Break won,Kevin McCabe,0.4890244,0.2182472,1,,1,0
198,00:52:25,Killinkere,Possession lost,2,Kick pass,Ciaran Flynn,,,-1,,1,0
199,00:52:36,Killinkere,Turnover,2,Interception,Cian McGovern,,,2,,1,0
200,00:52:48,Killinkere,Shot from play,2,Goal,Alex Sweeney,0.8896341,0.5241175,3,#70B12A,1,3
201,00:52:51,Killinkere,Attacks,2,Shot taken,Alex Sweeney,,,0,,1,0
202,00:53:18,Cornafean,Substitution,2,Player 20,Player 8,,,0,,YES,0
203,00:53:22,Cornafean,Kickout,2,Break lost,Alex Sweeney,0.4117378,0.8717318,1,,0,0
204,00:53:37,Killinkere,Possession lost,2,Kick pass,James Farrelly,,,-1,,1,0
205,00:53:59,Cornafean,Shot from play,2,Point,Player 20,0.1094512,0.6789501,1,#ffffff,1,1
206,00:54:06,Cornafean,Attacks,2,Shot taken,Player 20,,,0,,1,0
207,00:54:24,Killinkere,Kickout,2,Lost clean,,0.4327744,0.1673953,1,#ed1c24,0,0
208,00:54:39,Cornafean,Shot from play,2,Wide,Player 13,0.2205793,0.3343717,0,#ed1c24,1,0
209,00:54:42,Cornafean,Attacks,2,Shot taken,Player 13,,,0,,1,0
210,00:54:57,Killinkere,Kickout,2,Break lost,,0.4291159,0.7920386,1,,0,0
211,00:55:11,Killinkere,Turnover,2,Interception,Jason McMahon,,,2,,1,0
212,00:55:19,Killinkere,Possession lost,2,Hand pass,Kevin McCabe,,,-1,,1,0
213,00:55:57,Cornafean,Shot from play,2,Save,,0.114939,0.3928134,0,#ed1c24,1,0
214,00:57:05,Cornafean,Free conceded,2,Middle third,,,,0,,1,0
215,00:57:35,Killinkere,Scoreable free,2,Point,Cian McGovern,0.8041158,0.4967941,1,#ffffff,1,1
216,00:57:39,Killinkere,Attacks,2,Shot taken,Cian McGovern,,,0,,1,0
217,00:58:06,Cornafean,Kickout,2,Break won,Player 7,0.5498475,0.3313357,1,,1,0
218,00:58:25,Killinkere,Free conceded,2,Middle third,Cian McGovern,,,0,,1,0
219,00:58:44,Cornafean,Shot from play,2,45,,0.1698171,0.499071,0,#ed1c24,1,0
220,00:59:29,Cornafean,Scoreable free,2,Point,,0.3179878,0.4914812,1,#ffffff,1,1
221,00:59:43,Cornafean,Attacks,2,Mark taken,,,,1,,1,0
222,01:00:05,Cornafean,Free conceded,2,Middle third,,,,0,,1,0
223,01:00:29,Cornafean,Free conceded,2,Middle third,,,,0,,1,0
224,01:01:06,Killinkere,Shot from play,2,Point,Emmett Fitzsimons,0.8452744,0.500589,1,#ffffff,1,1
225,01:01:08,Killinkere,Attacks,2,Shot taken,Emmett Fitzsimons,,,0,,1,0
226,01:01:30,Cornafean,Kickout,2,Short won,Player 3,0.7739329,0.2144523,1,,1,0
227,01:01:40,Killinkere,Turnover,2,Interception,Jason McMahon,,,2,,1,0
228,01:01:53,Killinkere,Shot from play,2,Point,Emmett Fitzsimons,0.8233232,0.4732656,1,#ffffff,1,1
229,01:01:56,Killinkere,Attacks,2,Shot taken,Emmett Fitzsimons,,,0,,1,0
