Event,Time,Team Name,Name,Game Period,Outcome,Player,Location X,Location Y,PSR,Colormark,Positive,Score
126,00:34:49,Laragh,Kickout,2,Won clean,Player 8,0.5388719,0.4580859,1,,1,0
127,00:35:09,Laragh,Shot from play,2,Wide,Player 8,0.1469512,0.4391114,0,#ed1c24,1,0
128,00:35:14,Laragh,Attacks,2,Shot taken,Player 8,,,0,,1,0
129,00:35:31,Killinkere,Kickout,2,Break lost,Player 15,0.3559451,0.1985137,1,,0,0
130,00:35:39,Laragh,Shot from play,2,Point,Player 15,0.2096037,0.363213,1,#ffffff,1,1
131,00:35:45,Laragh,Attacks,2,Shot taken,Player 15,,,0,,1,0
132,00:35:57,Killinkere,Kickout,2,Break won,Jason McMahon,0.4318598,0.2827608,1,,1,0
133,00:36:10,Killinkere,Shot from play,2,Goal,Cian McGovern,0.8182927,0.4967941,3,#70B12A,1,3
134,00:36:13,Killinkere,Attacks,2,Shot taken,Cian McGovern,,,0,,1,0
135,00:36:26,Laragh,Kickout,2,Break lost,,0.4917683,0.4383524,1,,0,0
136,00:37:08,Killinkere,Shot from play,2,Wide,Conall Mooney,0.7689024,0.5947029,0,#ed1c24,1,0
137,00:37:12,Killinkere,Attacks,2,Shot taken,Conall Mooney,,,0,,1,0
138,00:37:27,Laragh,Kickout,2,Break lost,Ciaran Flynn,0.6756098,0.272135,1,,0,0
139,00:38:12,Killinkere,Shot from play,2,Point,Darren Smith,0.8429878,0.4823734,1,#ffffff,1,1
140,00:38:15,Killinkere,Attacks,2,Shot taken,Darren Smith,,,0,,1,0
141,00:38:36,Laragh,Kickout,2,Short won,Player 2,0.7012195,0.4322805,1,,1,0
142,00:39:06,Killinkere,Turnover,2,In Contact,Nathan McQuade,,,3,,1,0
143,00:39:35,Killinkere,Shot from play,2,Point,Alex Sweeney,0.857622,0.5317073,1,#ffffff,1,1
144,00:39:39,Killinkere,Attacks,2,Shot taken,Alex Sweeney,,,0,,1,0
145,00:39:58,Laragh,Kickout,2,Break lost,Jason McMahon,0.4217988,0.6349291,1,,0,0
146,00:40:16,Killinkere,Possession lost,2,In Contact,Cian McGovern,,,-1,,1,0
147,00:40:19,Killinkere,Attacks,2,Possession lost,Cian McGovern,,,0,,1,0
148,00:41:05,Laragh,Shot from play,2,2 Points,Player 2,0.3001525,0.3867415,2,#f7941d,1,2
149,00:41:11,Laragh,Attacks,2,Shot taken,Player 2,,,0,,1,0
150,00:41:34,Killinkere,Kickout,2,Won clean,Phelim Cusack,0.3948171,0.0877021,1,,1,0
151,00:42:16,Killinkere,Substitution,2,Fiachra Mooney,Darren Smith,,,0,,YES,0
152,00:42:21,Laragh,Free conceded,2,Defensive third,,,,-1,,1,0
153,00:42:58,Killinkere,Scoreable free,2,Short,Emmett Fitzsimons,0.7721037,0.230391,-1,#ed1c24,1,0
154,00:43:10,Killinkere,Shot from play,2,Point,Cian McGovern,0.8278964,0.5529588,1,#ffffff,1,1
155,00:43:13,Killinkere,Attacks,2,Shot taken,Cian McGovern,,,0,,1,0
156,00:43:37,Laragh,Kickout,2,Break lost,,0.3495427,0.3396845,1,,0,0
157,00:43:49,Laragh,Free conceded,2,Defensive third,,,,-1,,1,0
158,00:44:15,Killinkere,Scoreable free,2,Point,Cian McGovern,0.7849085,0.4778195,1,#ffffff,1,1
159,00:44:19,Killinkere,Attacks,2,Shot taken,Cian McGovern,,,0,,1,0
160,00:44:37,Laragh,Kickout,2,Won clean,Player 8,0.3637195,0.6182314,1,,1,0
161,00:45:01,Laragh,Shot from play,2,Save,Player 8,0.1378049,0.3920544,0,#ed1c24,1,0
162,00:45:04,Laragh,Attacks,2,Shot taken,Player 8,,,0,,1,0
163,00:45:27,Killinkere,Shot from play,2,Goal,Fiachra Mooney,0.8745427,0.5757284,3,#70B12A,1,3
164,00:45:31,Killinkere,Attacks,2,Shot taken,Fiachra Mooney,,,0,,1,0
165,00:45:53,Laragh,Kickout,2,Break won,Player 10,0.5667683,0.4041981,1,,1,0
166,00:46:12,Laragh,Shot from play,2,Point,Player 8,0.1753049,0.6880579,1,#ffffff,1,1
167,00:46:17,Laragh,Attacks,2,Shot taken,Player 8,,,0,,1,0
168,00:46:22,Killinkere,Kickout,2,Short won,Luke Crossan,0.254878,0.2448116,1,,1,0
169,00:47:08,Killinkere,Possession lost,2,Kick pass,Cian McGovern,,,-1,,1,0
170,00:47:11,Killinkere,Attacks,2,Kick lost,Cian McGovern,,,0,,1,0
171,00:48:27,Killinkere,Turnover,2,Interception,Shane Ryan,,,2,,1,0
172,00:48:55,Killinkere,Shot from play,2,Goal,Fiachra Mooney,0.903811,0.6053287,3,#70B12A,1,3
173,00:48:58,Killinkere,Attacks,2,Shot taken,Fiachra Mooney,,,0,,1,0
174,00:49:21,Laragh,Kickout,2,Short won,Player 4,0.7195122,0.2417757,1,,1,0
175,00:50:06,Killinkere,Free conceded,2,Defensive third,,,,-1,,1,0
