Event,Time,Team Name,Name,Game Period,Outcome,Player,Location X,Location Y,PSR,Colormark,Positive,Score
100,00:31:05,Drumlane,Kickout,1,Break lost,Kevin McCabe,0.4057927,0.8064592,1,,0,0
101,00:31:18,Killinkere,Possession lost,1,Kick pass,Neill McCabe,,,-1,,1,0
102,00:31:22,Killinkere,Attacks,1,Kick lost,Neill McCabe,,,0,,1,0
103,00:32:15,Killinkere,Turnover,1,In Contact,Nathan McQuade,,,3,,1,0
104,00:30:08,Drumlane,Substitution,2,Player 25,Player 9,,,0,,YES,0
105,00:30:29,Killinkere,Free conceded,2,Defensive third,Alex Sweeney,,,-1,,1,0
106,00:30:54,Killinkere,Turnover,2,In Contact,Benny McConnell,,,3,,1,0
107,00:31:06,Drumlane,Shot from play,2,Goal,Player 8,0.1547256,0.4489781,3,#70B12A,1,3
108,00:31:12,Drumlane,Attacks,2,Shot taken,Player 8,,,0,,1,0
109,00:31:24,Killinkere,Possession lost,2,Hand pass,Nathan McQuade,,,-1,,1,0
110,00:31:28,Killinkere,Kickout,2,Break lost,Player 5,0.6042683,0.5309483,1,,0,0
111,00:32:26,Drumlane,Shot from play,2,Save,Player 14,0.1780488,0.455809,0,#ed1c24,1,0
112,00:32:30,Drumlane,Attacks,2,Shot taken,Player 14,,,0,,1,0
113,00:32:45,Drumlane,Free conceded,2,Middle third,Player 22,,,0,,1,0
114,00:32:56,Drumlane,Free conceded,2,Middle third,Player 22,,,0,,1,0
115,00:33:53,Killinkere,Shot from play,2,Short,Phelim Cusack,0.9568598,0.682745,-1,#ed1c24,1,0
116,00:33:59,Killinkere,Attacks,2,Shot taken,Phelim Cusack,,,0,,1,0
117,00:34:14,Killinkere,Turnover,2,In Contact,Alex Sweeney,,,3,,1,0
118,00:34:19,Drumlane,Attacks,2,Carry lost,Player 14,,,0,,1,0
119,00:34:37,Killinkere,Shot from play,2,Save,Ciaran Flynn,0.8960366,0.3973673,0,#ed1c24,1,0
120,00:34:42,Killinkere,Attacks,2,Shot taken,Ciaran Flynn,,,0,,1,0
121,00:35:32,Drumlane,Attacks,2,Carry retained,Player 10,,,1,,1,0
122,00:36:05,Killinkere,Free conceded,2,Defensive third,Nathan McQuade,,,-1,,1,0
123,00:36:23,Killinkere,Bookings,2,Yellow,Nathan McQuade,,,-1,,1,0
124,00:37:12,Killinkere,Substitution,2,Darren Smith,Phelim Cusack,,,0,,YES,0
125,00:37:21,Drumlane,Scoreable free,2,Short,Player 13,0.1945122,0.7085504,-1,#ed1c24,1,0
126,00:37:37,Drumlane,Attacks,2,Shot taken,Player 14,,,0,,1,0
127,00:37:53,Killinkere,Shot from play,2,Wide,Neill McCabe,0.7762195,0.2068625,0,#ed1c24,1,0
128,00:37:57,Killinkere,Attacks,2,Shot taken,Neill McCabe,,,0,,1,0
129,00:38:12,Drumlane,Kickout,2,Short won,Player 7,0.6833841,0.6956477,1,,1,0
130,00:39:03,Drumlane,Shot from play,2,Short,Player 22,0.2393293,0.4520141,-1,#ed1c24,1,0
131,00:39:51,Killinkere,Shot from play,2,Point,Darren Smith,0.810061,0.2789659,1,#ffffff,1,1
132,00:39:55,Killinkere,Attacks,2,Shot taken,Darren Smith,,,0,,1,0
133,00:40:14,Drumlane,Kickout,2,Break won,Player 7,0.6056402,0.6068467,1,,1,0
134,00:40:37,Drumlane,Shot from play,2,Point,Player 13,0.1853659,0.3844646,1,#ffffff,1,1
135,00:40:41,Drumlane,Attacks,2,Shot taken,Player 13,,,0,,1,0
136,00:40:52,Killinkere,Kickout,2,Break lost,Player 4,0.6618903,0.409511,1,,0,0
137,00:41:46,Drumlane,Shot from play,2,Save,Player 14,0.228811,0.4884453,0,#ed1c24,1,0
138,00:41:49,Drumlane,Attacks,2,Shot taken,Player 14,,,0,,1,0
139,00:42:04,Drumlane,Free conceded,2,Attacking third,,,,0,,1,0
140,00:42:12,Killinkere,Turnover,2,Interception,Nathan McQuade,,,2,,1,0
141,00:42:25,Killinkere,Possession lost,2,In Contact,Ciaran Flynn,,,-1,,1,0
142,00:42:31,Killinkere,Attacks,2,Possession lost,Ciaran Flynn,,,0,,1,0
143,00:43:05,Drumlane,Shot from play,2,Point,Player 8,0.09435976,0.2311499,1,#ffffff,1,1
144,00:43:11,Drumlane,Attacks,2,Shot taken,Player 8,,,0,,1,0
145,00:43:29,Killinkere,Kickout,2,Won clean,Jason McMahon,0.4871951,0.5362612,1,,1,0
146,00:44:41,Drumlane,Substitution,2,Player 27,Player 10,,,0,,YES,0
147,00:45:11,Killinkere,Shot from play,2,Wide,Neill McCabe,0.8109756,0.590149,0,#ed1c24,1,0
148,00:45:15,Killinkere,Attacks,2,Mark taken,Neill McCabe,,,1,,1,0
149,00:45:48,Killinkere,Scoreable free,2,Point,Neill McCabe,0.8320122,0.6007748,1,#ffffff,1,1
150,00:46:16,Drumlane,Kickout,2,Break lost,Cian McGovern,0.6422256,0.1453848,1,,0,0
151,00:46:26,Killinkere,Possession lost,2,Handling,Fiachra Mooney,,,-1,,1,0
152,00:46:31,Killinkere,Attacks,2,Possession lost,Fiachra Mooney,,,0,,1,0
153,00:47:14,Drumlane,Shot from play,2,Wide,Player 13,0.1382622,0.7131043,0,#ed1c24,1,0
