Event,Time,Team Name,Name,Game Period,Outcome,Player,Location X,Location Y,PSR,Colormark,Positive,Score
118,00:35:40,Ballyhaise,Kickout,2,Won clean,,0.5809451,0.4148239,1,,1,0
119,00:35:50,Killinkere,Free conceded,2,Middle third,,,,0,,1,0
120,00:36:09,Ballyhaise,Shot from play,2,Wide,,0.827439,0.2683401,0,#ed1c24,1,0
121,00:36:12,Ballyhaise,Attacks,2,Shot taken,,,,0,,1,0
122,00:36:26,Killinkere,Kickout,2,Short won,David Ryan,0.7231708,0.7897616,1,,1,0
123,00:37:03,Killinkere,Shot from play,2,Save,Ben Philingham,0.1986281,0.6326521,0,#ed1c24,1,0
124,00:37:17,Killinkere,Shot from play,2,Point,Keiran Smith,0.1853659,0.6501087,1,#ffffff,1,1
125,00:37:27,Killinkere,Attacks,2,Shot taken,Keiran Smith,,,0,,1,0
126,00:37:50,Ballyhaise,Kickout,2,Break won,,0.4579268,0.4300036,1,,1,0
127,00:38:15,Ballyhaise,Attacks,2,Shot taken,,,,0,,1,0
128,00:38:41,Killinkere,Possession lost,2,Kick pass,Ciaran Cusack,,,-1,,1,0
129,00:38:53,Ballyhaise,Shot from play,2,Goal,,0.8141769,0.5833182,3,#70B12A,1,3
130,00:38:57,Ballyhaise,Attacks,2,Shot taken,,,,0,,1,0
131,00:39:14,Killinkere,Kickout,2,Short won,David Ryan,0.7272866,0.8982962,1,,1,0
132,00:40:00,Killinkere,Shot from play,2,Point,Ben Philingham,0.1080793,0.3563822,1,#ffffff,1,1
133,00:40:04,Killinkere,Attacks,2,Shot taken,Ben Philingham,,,0,,1,0
134,00:40:31,Ballyhaise,Kickout,2,Break won,,0.491311,0.502107,1,,1,0
135,00:40:48,Ballyhaise,Shot from play,2,Short,,0.8585366,0.3958493,-1,#ed1c24,1,0
136,00:40:52,Ballyhaise,Attacks,2,Shot taken,,,,0,,1,0
137,00:41:53,Killinkere,Shot from play,2,Point,Tom Cooney,0.1634146,0.4034391,1,#ffffff,1,1
138,00:41:56,Killinkere,Attacks,2,Shot taken,Tom Cooney,,,0,,1,0
139,00:42:13,Ballyhaise,Kickout,2,Won clean,,0.3998476,0.3586591,1,,1,0
140,00:42:43,Ballyhaise,Shot from play,2,Point,,0.7323171,0.2820018,1,#ffffff,1,1
141,00:42:47,Ballyhaise,Attacks,2,Shot taken,,,,0,,1,0
142,00:42:58,Killinkere,Kickout,2,Short won,Ben Philingham,0.7222561,0.8724908,1,,1,0
143,00:43:12,Killinkere,Possession lost,2,Handling,Ben Philingham,,,-1,,1,0
144,00:43:22,Killinkere,Turnover,2,In Contact,Sean Brady,,,3,,1,0
145,00:43:51,Killinkere,Shot from play,2,Short,Tom Cooney,0.2324695,0.5719334,-1,#ed1c24,1,0
146,00:43:55,Killinkere,Attacks,2,Shot taken,Tom Cooney,,,0,,1,0
147,00:44:22,Killinkere,Turnover,2,Interception,,,,2,,1,0
148,00:44:33,Killinkere,Free conceded,2,Middle third,,,,0,,1,0
149,00:44:52,Ballyhaise,Scoreable free,2,Wide,,0.7844512,0.319951,0,#ed1c24,1,0
150,00:44:58,Ballyhaise,Attacks,2,Shot taken,,,,0,,1,0
151,00:45:10,Killinkere,Kickout,2,Won clean,Mark Farrelly (S),0.5777439,0.4884453,1,,1,0
152,00:45:25,Killinkere,Shot from play,2,Point,Ciaran Cusack,0.1716463,0.3214689,1,#ffffff,1,1
153,00:45:31,Killinkere,Attacks,2,Shot taken,Ciaran Cusack,,,0,,1,0
154,00:45:46,Ballyhaise,Kickout,2,Break won,,0.501372,0.4649168,1,,1,0
155,00:46:56,Ballyhaise,Scoreable free,2,2 Points,,0.688872,0.4049571,2,#f7941d,1,2
156,00:47:01,Ballyhaise,Attacks,2,Mark taken,,,,1,,1,0
157,00:47:18,Killinkere,Kickout,2,Short won,Ciaran Flynn,0.7295732,0.1271692,1,,1,0
158,00:47:46,Killinkere,Shot from play,2,Wide,Ruairi O Connell,0.2233232,0.3298178,0,#ed1c24,1,0
159,00:47:54,Killinkere,Attacks,2,Shot taken,Ruairi O Connell,,,0,,1,0
160,00:48:35,Ballyhaise,Kickout,2,Lost clean,Ruairi O Connell,0.5411586,0.4474602,1,#ed1c24,0,0
161,00:48:54,Killinkere,Possession lost,2,Handling,Ciaran Cusack,,,-1,,1,0
162,00:49:09,Killinkere,Turnover,2,Interception,David Ryan,,,2,,1,0
163,00:49:19,Killinkere,Shot from play,2,Point,Harry McQuade,0.1346037,0.3510693,1,#ffffff,1,1
164,00:49:24,Killinkere,Attacks,2,Shot taken,Harry McQuade,,,0,,1,0
165,00:49:57,Ballyhaise,Kickout,2,Break lost,Ruairi O Connell,0.5365854,0.499071,1,,0,0
166,00:50:04,Killinkere,Shot from play,2,Point,Ryan Smith,0.1231707,0.635688,1,#ffffff,1,1
167,00:50:09,Killinkere,Attacks,2,Shot taken,Ryan Smith,,,0,,1,0
168,00:50:27,Ballyhaise,Kickout,2,Break won,,0.4625,0.4155829,1,,1,0
169,00:50:43,Ballyhaise,Shot from play,2,Point,,0.8064024,0.3973673,1,#ffffff,1,1
170,00:50:46,Ballyhaise,Attacks,2,Shot taken,,,,0,,1,0
171,00:50:54,Killinkere,Kickout,2,Short won,,0.6426829,0.8853935,1,,1,0
172,00:51:09,Killinkere,Possession lost,2,Kick pass,Mark Farrelly (S),,,-1,,1,0
173,00:51:13,Killinkere,Attacks,2,Possession lost,Mark Farrelly (S),,,0,,1,0
174,00:51:22,Killinkere,Turnover,2,Interception,Ciaran Flynn,,,2,,1,0
175,00:51:49,Killinkere,Shot from play,2,Point,Ben Philingham,0.2974086,0.7184172,1,#ffffff,1,1
176,00:51:52,Killinkere,Attacks,2,Shot taken,Ben Philingham,,,0,,1,0
177,00:52:08,Killinkere,Substitution,2,Benny McConnell,Sean Brady,,,0,,YES,0
178,00:52:15,Ballyhaise,Kickout,2,Break won,,0.5,0.5552358,1,,1,0
179,00:52:40,Ballyhaise,Shot from play,2,Blocked,,0.8791159,0.3290588,0,#ed1c24,1,0
180,00:52:44,Ballyhaise,Attacks,2,Shot taken,,,,0,,1,0
181,00:53:16,Ballyhaise,Scoreable free,2,Short,,0.6742378,0.2698581,-1,#ed1c24,1,0
182,00:53:20,Ballyhaise,Attacks,2,Shot taken,,,,0,,1,0
183,00:53:50,Killinkere,Shot from play,2,Point,Ben Philingham,0.2493902,0.4527731,1,#ffffff,1,1
184,00:53:53,Killinkere,Attacks,2,Shot taken,Ben Philingham,,,0,,1,0
185,00:54:20,Ballyhaise,Kickout,2,Short won,,0.471189,0.3328537,1,,1,0
